                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.157,                 3.6182,                 1.3323,                0.47505,                 0.5776,                0.55026,                0.40838,                0.86722,                 1.8746,                 1.2843,              0.0033285,              0.0033285,              0.0033285
                      2,                0.97776,                 1.9279,                 1.2188,                0.90003,                 0.8751,                0.94121,                0.73773,                0.74763,                0.89877,                 1.1956,              0.0065958,              0.0065958,              0.0065958
                      3,                0.90625,                 1.3586,                  1.157,                0.91274,                 0.8957,                0.94209,                0.72289,                0.81083,                0.85519,                 1.2418,              0.0097972,              0.0097972,              0.0097972
                      4,                0.87571,                 1.1012,                 1.1352,                0.96303,                0.94839,                0.97363,                0.78582,                0.69915,                 0.5956,                 1.1467,               0.009703,               0.009703,               0.009703
                      5,                0.82359,                0.86533,                 1.1073,                0.97207,                0.95997,                0.97858,                0.79699,                0.67642,                0.51605,                 1.1258,               0.009703,               0.009703,               0.009703
                      6,                0.79011,                0.74609,                 1.0874,                0.96575,                0.95624,                0.97195,                0.80237,                0.63341,                0.45395,                 1.0986,               0.009604,               0.009604,               0.009604
                      7,                0.77329,                0.69006,                 1.0768,                0.97892,                0.96732,                0.98407,                0.82056,                0.61128,                0.41247,                 1.0779,               0.009505,               0.009505,               0.009505
                      8,                0.74887,                 0.6398,                 1.0638,                0.97591,                0.97533,                0.98395,                0.83248,                0.60407,                0.38478,                 1.0739,               0.009406,               0.009406,               0.009406
                      9,                0.72116,                0.59982,                 1.0461,                0.98333,                0.96822,                0.98565,                0.83583,                0.58731,                 0.3739,                 1.0405,               0.009307,               0.009307,               0.009307
                     10,                 0.6979,                0.56472,                 1.0292,                0.98626,                0.97102,                0.98515,                0.84502,                0.55841,                0.36395,                 1.0349,               0.009208,               0.009208,               0.009208
                     11,                0.69558,                0.56085,                 1.0359,                0.98782,                0.97237,                 0.9858,                0.84342,                0.56775,                0.35485,                 1.0369,               0.009109,               0.009109,               0.009109
                     12,                0.68701,                0.54538,                 1.0316,                0.98926,                0.97505,                 0.9875,                0.85771,                0.53474,                0.32403,                 1.0052,                0.00901,                0.00901,                0.00901
                     13,                0.66805,                0.52482,                 1.0161,                0.98883,                0.97478,                0.98778,                0.86276,                  0.526,                0.31084,                  1.002,               0.008911,               0.008911,               0.008911
                     14,                0.66254,                 0.5134,                 1.0141,                0.97754,                0.96917,                0.98217,                0.85392,                0.52467,                0.30699,                 1.0031,               0.008812,               0.008812,               0.008812
                     15,                0.66158,                0.50866,                 1.0136,                0.99047,                0.97679,                0.98885,                0.86033,                0.52334,                0.30089,                0.99478,               0.008713,               0.008713,               0.008713
                     16,                0.64813,                0.49798,                 1.0082,                0.99158,                0.97769,                0.98923,                0.86717,                0.50818,                0.29926,                0.99053,               0.008614,               0.008614,               0.008614
                     17,                0.64442,                0.49088,                 1.0064,                0.99443,                0.97917,                0.98956,                0.87184,                0.49756,                0.28479,                0.96886,               0.008515,               0.008515,               0.008515
                     18,                0.63092,                0.48412,                0.99752,                0.99135,                  0.982,                0.98948,                0.87175,                0.48912,                0.27907,                0.95862,               0.008416,               0.008416,               0.008416
                     19,                0.63456,                0.48347,                0.99432,                0.99131,                0.98124,                0.99008,                0.87508,                0.48332,                0.27353,                0.95741,               0.008317,               0.008317,               0.008317
                     20,                0.62334,                0.47106,                0.98544,                  0.993,                0.98297,                0.99046,                0.87964,                0.47646,                0.27507,                0.93705,               0.008218,               0.008218,               0.008218
                     21,                0.62221,                0.47065,                0.98426,                0.99296,                0.98212,                0.99033,                0.87947,                0.47471,                0.26318,                0.92183,               0.008119,               0.008119,               0.008119
                     22,                0.60896,                0.45691,                0.97721,                0.99107,                0.98018,                0.99054,                 0.8823,                0.46117,                0.25894,                0.91586,                0.00802,                0.00802,                0.00802
